Offer,Description,Image,Link,Eligible Credit Cards,Eligible Debit Cards
Up to Rs.7500 OFF,YATRAHSBC,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Oct/0a1ebc56eea33da997d9123c28904795.jpg,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Live+ Credit Card,
Up to Rs.7500 OFF,YATRAHSBC,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Oct/0a1ebc56eea33da997d9123c28904795.jpg,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Visa Platinum Credit Card,
Up to Rs.7500 OFF,YATRAHSBC,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Oct/0a1ebc56eea33da997d9123c28904795.jpg,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Taj Credit Card,
Up to Rs.7500 OFF,YATRAHSBC,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Oct/0a1ebc56eea33da997d9123c28904795.jpg,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC TravelOne Credit Card,
Up to Rs.7500 OFF,YATRAHSBC,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Oct/0a1ebc56eea33da997d9123c28904795.jpg,https://www.yatra.com/offer/details/hsbc-credit-card-sale,HSBC Premier Mastercard Credit Card,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Flat 15% OFF (up to Rs.5000),YTRBLEMI,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Jan/2c227c590deca2afef3de92f15ec26ca.jpg,https://www.yatra.com/offer/details/rbl-card-emi-offers,IRCTC RBL Bank Credit Card,
Flat 15% OFF (up to Rs.5000),YTRBLEMI,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Jan/2c227c590deca2afef3de92f15ec26ca.jpg,https://www.yatra.com/offer/details/rbl-card-emi-offers,IndianOil RBL Bank Credit Card,
Flat 15% OFF (up to Rs.5000),YTRBLEMI,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Jan/2c227c590deca2afef3de92f15ec26ca.jpg,https://www.yatra.com/offer/details/rbl-card-emi-offers,IndianOil RBL Bank RuPay Credit Card,
Flat 15% OFF (up to Rs.5000),YTRBLEMI,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Jan/2c227c590deca2afef3de92f15ec26ca.jpg,https://www.yatra.com/offer/details/rbl-card-emi-offers,IndianOil RBL Bank XTRA RuPay Credit Card,
Flat 15% OFF (up to Rs.5000),YTRBLEMI,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Jan/2c227c590deca2afef3de92f15ec26ca.jpg,https://www.yatra.com/offer/details/rbl-card-emi-offers,Indianoil RBL Bank Xtra Credit Card,
Flat 15% OFF (up to Rs.5000),YTRBLEMI,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Jan/2c227c590deca2afef3de92f15ec26ca.jpg,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Bankbazaar Savemax Credit Card,
Flat 15% OFF (up to Rs.5000),YTRBLEMI,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Jan/2c227c590deca2afef3de92f15ec26ca.jpg,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Bankbazaar Savemax Pro Credit Card,
Flat 15% OFF (up to Rs.5000),YTRBLEMI,https://www.yatra.com/ythomepagecms/media/todayspick_hotels/2025/Jan/2c227c590deca2afef3de92f15ec26ca.jpg,https://www.yatra.com/offer/details/rbl-card-emi-offers,RBL Bank Binge Credit Card,
